品名,県内_数量,県外_数量,外国_数量,総計_数量,県内_金額,県内_単価,県外_金額,県外_単価,外国_金額,外国_単価,総計_金額,総計_単価
大ギク,170060,113438,,283498,5966946,35,7475172,66,,,13442118,47
スプレーギク,84088,35740,70760,190588,4263224,51,2075741,58,5284081,75,11623046,61
小ギク,364840,,,364840,7187034,20,,,,,7187034,20
ｽﾀﾝﾀﾞｰﾄﾞ ｶｰﾈｰｼｮﾝ,977,46497,20362,67836,38296,39,2770576,60,1229588,60,4038460,60
ｽﾌﾟﾚｰ ｶｰﾈｰｼｮﾝ,190,50815,22766,73771,11502,61,3419686,67,1311535,58,4742723,64
バラ,38090,70577,1160,109827,3121308,82,7582719,107,99900,86,10803927,98
スプレーバラ,2980,22204,10130,35314,250506,84,2564792,116,690660,68,3505958,99
テッポウユリ,100,3020,,3120,13392,134,498448,165,,,511840,164
オリエンタルユリ,2060,59174,,61234,355914,173,16046737,271,,,16402651,268
スカシユリ,,5250,,5250,,,685443,131,,,685443,131
オンシジウム,195,17150,,17345,25434,130,3625766,211,,,3651200,211
カトレア,1,127,,128,540,540,4752,37,,,5292,41
コチョウラン,2938,426,,3364,413196,141,181181,425,,,594377,177
シンビジウム,52,1690,240,1982,21924,422,731369,433,64540,269,817833,413
デンファレ,10839,68880,41800,121519,357016,33,3113483,45,1929096,46,5399595,44
その他ラン類,300,16202,,16502,15984,53,1713237,106,,,1729221,105
アリアム,,3000,,3000,,,349602,117,,,349602,117
アルストロメリア,30,35790,,35820,1944,65,3248470,91,,,3250414,91
カラー,315,3715,,4030,20628,65,319830,86,,,340458,84
グラジオラス,17250,6890,,24140,1016238,59,510916,74,,,1527154,63
グロリオサ,1690,4220,,5910,224208,133,926212,219,,,1150420,195
チューリップ,510,3700,,4210,20952,41,232902,63,,,253854,60
フリージア,,8030,,8030,,,516294,64,,,516294,64
その他球根類,3300,3306,,6606,79380,24,249333,75,,,328713,50
アンスリウム,3260,13044,,16304,225990,69,1217527,93,,,1443517,89
ガーベラ,48240,58363,,106603,1241001,26,2507930,43,,,3748931,35
カスミソウ,250,24285,,24535,24840,99,3051533,126,,,3076373,125
クジャクソウ,,380,,380,,,29893,79,,,29893,79
シャクヤク,,7880,,7880,,,1156213,147,,,1156213,147
宿根スターチス,596,1685,,2281,114826,193,316613,188,,,431439,189
ジンジャー類,741,163,,904,31960,43,29916,184,,,61876,68
ストレリチア,11660,,,11660,492507,42,,,,,492507,42
ソリダコ,1200,61860,,63060,19872,17,2683098,43,,,2702970,43
デルフィニウム,,8605,,8605,,,1348118,157,,,1348118,157
マーガレット,2535,2650,,5185,115911,46,189162,71,,,305073,59
リアトリス,17950,,,17950,266382,15,,,,,266382,15
その他宿根草(多年草)類,7269,19517,,26786,467600,64,2127242,109,,,2594842,97
アスター,1645,3350,,4995,93555,57,252288,75,,,345843,69
キンギョソウ,3130,7765,,10895,76842,25,518784,67,,,595626,55
スイートピー,,15980,,15980,,,692873,43,,,692873,43
スターチス シヌアータ,2771,45625,,48396,84373,30,1904459,42,,,1988832,41
ストック,50,13945,,13995,1080,22,1678480,120,,,1679560,120
トルコキキョウ,42620,12688,,55308,6445802,151,3116512,246,,,9562314,173
ナデシコ類,2630,1160,320,4110,100278,38,70788,61,24840,78,195906,48
ヒマワリ,32721,5010,,37731,1200290,37,344401,69,,,1544691,41
その他一･二年草類,5290,17460,,22750,299808,57,1356486,78,,,1656294,73
その他切花,530,17446,,17976,23705,45,1510558,87,,,1534263,85
アスパラガス類,410,1260,,1670,27594,67,314442,250,,,342036,205
アレカヤシ,42845,,,42845,1874556,44,,,,,1874556,44
タマシダ,9380,,,9380,54054,6,,,,,54054,6
ドラセナ,72364,4605,1500,78469,2234129,31,246983,54,113832,76,2594944,33
レザーファン,7130,20490,,27620,170370,24,981372,48,,,1151742,42
その他切葉,39690,36855,1000,77545,1104998,28,2452330,67,64746,65,3622074,47
ウメ,,320,,320,,,26549,83,,,26549,83
サクラ,,3006,,3006,,,1032061,343,,,1032061,343
ナツハゼ,,40,,40,,,16200,405,,,16200,405
ワックスフラワー,,845,,845,,,83911,99,,,83911,99
その他切枝,1863,38015,1969,41847,134124,72,6724742,177,258930,132,7117796,170
その他,9382,,,9382,247775,26,,,,,247775,26
モンステラ,1800,60,,1860,79110,44,4860,81,,,83970,45
